bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2732214,ERR1719176,33.0007,32.9988,-121.8701,-121.869,5,20,0.132837,0.311832,226.108583,33.477367,17.593567,5,latitudeN=33.0007,longitudeE=-121.8701,(5-20)
PRJEB6609,SAMEA2656975,ERR1719297,-8.9056,-8.8987,-140.2792,-140.2856,20,180,5.321003,0.162506,189.8109,35.35772,26.63952,5,latitudeN=-8.9056,longitudeE=-140.2792,(20-180)
PRJEB6609,SAMEA2623721,ERR1719163,33.061,32.9705,-66.5435,-66.531,0.8,&gt;,-0.960636,0.122914,213.260833,36.56745,20.12165,5,latitudeN=33.061,longitudeE=-66.5435,(0.8-&gt;)
PRJEB6609,SAMEA2656975,ERR1719307,-8.9056,-8.8987,-140.2792,-140.2856,20,180,5.321003,0.162506,189.8109,35.35772,26.63952,5,latitudeN=-8.9056,longitudeE=-140.2792,(20-180)
PRJEB6609,SAMEA2623266,ERR1719171,17.0854,17.0612,-118.8913,-118.8987,0.8,5,-1.145148,0.245841,201.216,34.52465,24.52735,5,latitudeN=17.0854,longitudeE=-118.8913,(0.8-5)
PRJEB6609,SAMEA2656967,ERR1719429,18.5745,18.5734,66.4895,66.4889,20,180,-1.006357,0.134262,193.990333,36.2986,26.897,25,latitudeN=18.5745,longitudeE=66.4895,(20-180)
PRJEB6609,SAMEA2623417,ERR1719455,6.4998,6.4791,-94.9527,94.9752,0.8,&gt;,2.892241,0.4664,157.176,33.102675,26.273758,5,latitudeN=6.4998,longitudeE=-94.9527,(0.8-&gt;)
PRJEB6609,SAMEA2656999,ERR1719242,39.3885,39.3837,19.3906,19.3936,20,180,99999,0.121845,218.016833,38.182917,18.342533,5,latitudeN=39.3885,longitudeE=19.3906,(20-180)
PRJEB6609,SAMEA2657008,ERR1719208,1.9958,2.0039,-84.576,-84.5718,20,180,1.210114,0.28167,198.635833,33.3676,27.617558,5,latitudeN=1.9958,longitudeE=-84.576,(20-180)
PRJEB6609,SAMEA2732983,ERR1719282,6.4808,6.4791,-94.9704,-94.9751,5,20,2.892241,0.4664,157.176,33.102675,26.273758,5,latitudeN=6.4808,longitudeE=-94.9704,(5-20)
PRJEB6609,SAMEA2657019,ERR1719290,-16.9741,-16.9753,-100.6683,-100.6753,180,2000,2.410016,0.373279,211.719429,35.746607,20.445864,90,latitudeN=-16.9741,longitudeE=-100.6683,(180-2000)
