station,lat,long,Gym,euk,all,cpm1,cpm2,depth,log
ERR1756281,-62.14,-49.3273,2051,67374,75664,30442.01027,27106.68217,5,14.89377601
ERR1756141,-62.14,-49.3273,3008,98486,111534,30542.41212,26969.35464,5,14.89852638
ERR1755938,0.0078,-153.6265,2464,81080,93088,30389.73853,26469.57717,5,14.89129664
ERR562447,33.9235,32.8118,54361,1743332,2077199,31182.24182,26170.33804,70,14.92843703
ERR1879675,17.5294,67.9576,2637,91541,101675,28806.76418,25935.57905,5,14.81411999
ERR1879879,17.4825,67.9869,2876,101042,111298,28463.41125,25840.53622,25,14.79682095
ERR562427,35.759,14.2574,21249,727606,827728,29203.99227,25671.47662,5,14.83387798
ERR1756155,0.001,-153.6387,14240,454783,570294,31311.63654,24969.5771,40,14.93441129
ERR1756065,0.0078,-153.6265,3313,116923,134031,28334.88706,24718.16222,5,14.79029183
ERR1756191,4.6599,73.4856,8389,274398,343765,30572.38027,24403.29877,5,14.89994126
ERR1879896,-23.1595,-134.9236,7569,269355,311760,28100.46222,24278.29099,5,14.77830624
ERR1879878,-23.073,-135.018,3987,141103,168244,28255.95487,23697.72473,5,14.78626732
ERR1879856,-23.073,-135.018,2734,99064,117494,27598.32028,23269.27332,5,14.75229284
ERR562504,39.1633,5.916,50260,1618537,2166417,31052.73466,23199.59638,5,14.9224327
ERR1756302,-13.0655,46.9692,1194,41772,51997,28583.7403,22962.86324,5,14.80290709
ERR1879718,-11.9873,-151.05,9384,348911,410689,26895.11079,22849.40673,5,14.71505631
ERR1756091,-64.358,-53.0534,936,37183,41082,25172.79402,22783.70089,5,14.61957773
ERR1756338,-29.6597,-101.2351,3928,142445,174163,27575.55548,22553.58486,5,14.75110233
ERR1879912,31.5213,-158.9958,1272,50226,57505,25325.52861,22119.81567,5,14.62830476
ERR1879779,31.5213,-158.9958,2285,91440,105440,24989.06387,21671.09256,5,14.60900924
ERR562466,27.16,27.1433,10716,385363,498677,27807.54769,21488.85952,5,14.7631889
ERR1756034,-64.358,-53.0534,1847,80293,86949,23003.25059,21242.33746,5,14.48955012
ERR1879796,-2.0465,72.1568,3640,138828,174959,26219.49463,20804.87428,5,14.67835226
ERR1879715,-9.3,-9.5587,1408,59809,68358,23541.60745,20597.44287,5,14.52292521
ERR1879828,17.4825,67.9869,81630,3365694,3974126,24253.54177,20540.36535,25,14.56590782
ERR1879895,-40.6511,-52.182,3170,126247,157153,25109.50755,20171.4253,5,14.61594611
ERR1756145,-11.9668,-151.2413,477,20023,23790,23822.60401,20050.44136,5,14.5400435
ERR1756052,-21.1584,-104.8314,2487,99717,124412,24940.58185,19990.03312,5,14.6062075
ERR562716,-30.1367,-43.2899,2827,99839,143292,28315.5881,19728.94509,5,14.78930887
ERR1756263,6.6433,-153.0842,1476,66660,75865,22142.21422,19455.61194,80,14.43451188
ERR562728,21.9467,38.2517,26626,1055972,1382610,25214.68372,19257.78057,5,14.62197651
ERR1879909,-9.3,-9.5587,402,17906,20999,22450.57523,19143.76875,5,14.45446479
ERR1879736,-0.6625,73.161,7186,256917,375597,27970.12265,19132.20819,5,14.77159896
ERR1879947,17.4825,67.9869,1439,62909,76879,22874.31051,18717.72526,25,14.48144064
ERR562371,38.4761,20.1705,5229,223890,282458,23355.21908,18512.48681,5,14.51145736
ERR1755933,-44.5838,-52.1952,1235,52402,66812,23567.80276,18484.70335,35,14.52452964
ERR1879876,17.5294,67.9576,69851,3169698,3810811,22037.11521,18329.69413,5,14.42764776
ERR1755877,-63.8768,-56.0916,1107,51397,60401,21538.22208,18327.51113,5,14.39461154
ERR562625,-9.1504,-140.5216,8719,416575,477164,20930.20465,18272.54361,5,14.3532988
ERR1879941,17.4825,67.9869,5173,241009,288223,21463.92873,17947.90839,25,14.38962655
ERR1879898,-23.0244,-134.9228,321,15749,18233,20382.24649,17605.44068,5,14.31502545
ERR1879915,11.2723,-152.3711,2284,110640,130301,20643.52856,17528.64521,5,14.33340197
ERR1756341,-1.9002,-84.6265,7381,306969,425806,24044.77325,17334.18505,50,14.5534357
ERR1755886,-44.5838,-52.1952,1331,58547,76970,22733.87193,17292.4516,35,14.4725558
ERR1756322,-31.3727,-93.9387,6498,317485,376613,20467.10868,17253.78572,5,14.32101969
ERR562404,-62.0385,-49.529,2424,94999,141047,25516.05806,17185.76077,5,14.63911785
ERR1879809,17.5294,67.9576,1091,51629,63724,21131.5346,17120.70805,5,14.36710992
ERR562683,-31.027,4.6802,13742,589352,824036,23317.13475,16676.45588,50,14.5091029
ERR562575,37.0541,1.9478,14265,619618,863548,23022.24919,16519.05858,42,14.49074117
ERR1879837,-9.3,-9.5587,4832,253749,295200,19042.43958,16368.56369,5,14.2169307
ERR1879740,35.8427,-37.1526,3399,159430,208878,21319.70144,16272.65677,40,14.37989961
ERR1879771,-23.0242,-134.9232,1475,79202,92842,18623.26709,15887.20622,5,14.18481857
ERR1879931,17.5294,67.9576,4240,220881,269390,19195.85659,15739.26278,5,14.22850732
ERR1879703,6.3332,-102.9432,2297,118136,147943,19443.69202,15526.24997,5,14.24701457
ERR1879671,32.931,-121.8645,1749,85277,113947,20509.63331,15349.24131,30,14.32401408
ERR1879841,11.2723,-152.3711,1027,56795,68530,18082.57769,14986.13746,5,14.14231273
ERR562548,39.5705,17.4101,7291,402843,487647,18098.86234,14951.38902,30,14.14361139
ERR1756031,-31.3727,-93.9387,979,51453,66141,19027.07325,14801.7115,5,14.21576604
ERR1879714,-23.0242,-134.9232,1961,112229,133059,17473.20211,14737.82307,5,14.0928564
ERR1756042,-34.173,-73.0814,1590,92789,108232,17135.65186,14690.6645,5,14.06471345
ERR1879922,35.3671,-127.7422,417,24464,28617,17045.45455,14571.75805,5,14.05709945
ERR1879696,17.4814,67.9947,1243,74476,85794,16689.94038,14488.19265,50,14.02669118
ERR1879731,-63.8768,-56.0916,964,60427,67222,15953.13353,14340.54327,5,13.96155221
ERR1879823,-23.0244,-134.9228,1078,62074,75219,17366.36917,14331.4854,5,14.08400854
ERR1879735,-2.0133,-84.589,6998,423667,490640,16517.6896,14263.00342,5,14.01172428
ERR1756301,-12.807,45.2247,235,14299,16617,16434.71571,14142.14359,5,14.00445888
ERR1879684,-63.8768,-56.0916,1124,72651,80442,15471.22545,13972.80028,5,13.91729985
ERR1879808,-8.9109,-140.2845,4444,281621,318979,15780.07322,13931.95163,150,13.94581628
ERR1756216,-33.6737,-71.9641,895,55915,64538,16006.43834,13867.79882,5,13.9663647
ERR562518,-9.1504,-140.5216,11036,586972,795901,18801.57827,13866.04615,5,14.19856615
ERR1879689,-23.1595,-134.9236,4557,253417,329467,17982.21903,13831.43077,5,14.13428344
ERR562437,-8.9111,-142.5571,3946,246054,286977,16037.13006,13750.23085,5,13.96912837
ERR562418,42.4552,17.9348,4559,244151,333365,18672.87048,13675.70081,5,14.1886561
ERR1879944,25.5264,-88.394,542,33996,40335,15943.05212,13437.46126,5,13.96064022
ERR1755931,6.6433,-153.0842,3799,240544,286830,15793.36837,13244.77914,80,13.94703128
ERR1879832,6.6112,-153.0543,169,11676,12867,14474.13498,13134.37476,85,13.82118951
ERR562472,42.1735,17.7175,12519,782517,960921,15998.37448,13028.12614,5,13.96563771
ERR1879864,35.3671,-127.7422,854,57401,65618,14877.78959,13014.72157,5,13.86087258
ERR1879759,31.5168,-159.046,603,40414,46855,14920.57208,12869.49098,115,13.86501523
ERR562705,42.2038,17.715,11161,641577,886269,17396.19718,12593.24201,5,14.08648435
ERR1756255,31.4868,-159.0749,1199,80289,95273,14933.55254,12584.88764,5,13.86626979
ERR1756313,-62.2024,-49.2382,1864,115834,148438,16091.99372,12557.43139,90,13.97405546
ERR1879894,14.2035,-116.6261,328,22211,26314,14767.45757,12464.84761,5,13.85013385
ERR562439,39.8386,17.4155,5698,390802,463063,14580.27339,12305.02113,5,13.83173015
ERR562672,2.0399,-84.5599,10323,603601,849230,17102.35735,12155.71753,5,14.06190758
ERR562630,-16.9601,-100.6335,8484,587559,704376,14439.40098,12044.7034,5,13.81772327
ERR1879794,-16.8084,59.5043,839,56685,69764,14801.09376,12026.25996,5,13.85341617
ERR1756104,-11.9668,-151.2413,9838,628886,827978,15643.53476,11881.95822,5,13.93327892
ERR1879773,32.9986,-121.7698,690,52807,58094,13066.44952,11877.3023,5,13.67357956
ERR1879704,-23.2329,-134.9606,3186,186131,268484,17116.97675,11866.62892,5,14.06314029
ERR1756094,22.7281,-158.0907,4711,292905,400046,16083.71315,11776.14574,110,13.97331289
ERR562565,-21.0292,-35.3498,6671,430953,570183,15479.64627,11699.75254,150,13.91808488
ERR1879874,-23.2317,-134.9611,4440,325988,381514,13620.13326,11637.84291,5,13.7334532
ERR1879937,36.0469,-4.3555,1046,85418,91036,12245.66251,11489.96002,68,13.57998321
ERR1879752,-0.0283,-84.5862,9464,653366,839199,14484.99004,11277.42049,5,13.82227107
ERR1879940,35.9346,-37.3032,3169,222374,281669,14250.76673,11250.79437,5,13.79875192
ERR562538,-47.1863,-58.2902,12304,776977,1115285,15835.73259,11032.1577,5,13.95089599
ERR1879840,6.3378,-102.9538,641,49863,58431,12855.22331,10970.20417,60,13.65006705
ERR1879690,6.4998,-94.9527,303,24150,27713,12546.58385,10933.49691,5,13.61500698
ERR1755918,-33.6737,-71.9641,259,20411,23757,12689.2362,10902.04992,5,13.63131761
ERR562568,-8.9971,-139.1963,9295,628129,853749,14797.91571,10887.27483,5,13.85310637
ERR562601,-20.4107,-3.1775,7928,558078,728877,14205.89953,10877.00668,5,13.79420257
ERR1879804,35.4002,-127.7499,1041,73653,96322,14133.84384,10807.49984,45,13.78686625
ERR562478,-62.2231,-49.2139,1669,93699,155759,17812.35659,10715.27167,90,14.12059078
ERR562710,-12.9488,-96.0293,3264,165258,304759,19750.9349,10710.10208,5,14.26963332
ERR1756238,-9.2612,-9.68,819,66097,78697,12390.88007,10407.00408,5,13.59699104
ERR1755980,14.1957,-116.7293,569,45560,54799,12489.02546,10383.40116,40,13.60837328
ERR1879730,-33.6895,-71.998,532,43164,51252,12325.08572,10380.08273,5,13.58931006
ERR1756197,4.66,73.4856,4344,327063,419855,13281.84478,10346.42912,5,13.69716792
ERR562398,-9.3921,66.4228,3948,229966,383588,17167.75523,10292.29277,5,14.06741379
ERR1879753,-21.4612,56.7654,1493,122324,146335,12205.29087,10202.61728,120,13.57521906
ERR1879843,32.7526,-122.0013,2177,189513,213748,11487.3386,10184.89062,5,13.48775697
ERR1879764,-23.1571,-135.018,6779,523893,672810,12939.66516,10075.65286,5,13.65951266
ERR1879789,-28.1874,-107.6385,468,39749,46702,11773.8811,10020.98411,175,13.52330234
ERR562430,-16.9616,53.9541,10186,748790,1030351,13603.27996,9885.951486,5,13.73166693
ERR1755948,-9.2612,-9.68,878,74016,88903,11862.30004,9875.932196,5,13.53409615
ERR1879928,-34.0614,-73.1066,152,14009,15687,10850.16775,9689.551858,5,13.40542973
ERR1879873,44.0342,-16.5455,843,70698,87595,11923.95824,9623.836977,100,13.54157561
